,Date,Temp,StartTime,EndTime,Duration,FileName,File,Total,Frame#,Dir,R(m),Theta,Length,dR(cm),L/dR,Aspect,Time,Date,Pan,Tilt,Roll,Species,Motion,Motion2,Q,N
38,7/22/2025,14,1:20:00,1:39:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_012000_ID_.txt,1,1,293,Up,5.24,0,53,0,0,0,1:22:01,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
39,7/22/2025,14,1:20:00,1:39:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_012000_ID_.txt,1,2,1838,Up,6.15,-0.7,79.8,0,0,0,1:32:52,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
40,7/22/2025,14,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_020000_ID_.txt,1,1,800,Up,6.41,1.6,47.1,0,0,0,2:05:59,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
41,7/22/2025,14,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_020000_ID_.txt,1,2,2330,Up,6.59,-3.4,70.4,0,0,0,2:16:33,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
42,7/22/2025,14,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_020000_ID_.txt,1,3,2335,Up,6.72,0.1,57.5,0,0,0,2:16:36,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
43,7/22/2025,14,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_020000_ID_.txt,1,4,2341,Up,6.45,-2.7,60.5,0,0,0,2:16:39,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
44,7/22/2025,13,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_030000_ID_.txt,1,1,486,Up,6.44,-5.3,51.9,0,0,0,3:03:40,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
45,7/22/2025,13,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_030000_ID_.txt,1,2,1704,Up,6.41,-0.1,64.6,0,0,0,3:11:49,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
46,7/22/2025,13,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_030000_ID_.txt,1,3,2822,Up,6.42,-2.6,52,0,0,0,3:19:51,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
47,7/22/2025,13,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_030000_ID_.txt,1,4,2831,Up,6.23,-3,55.4,0,0,0,3:19:55,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
48,7/22/2025,13,4:00:00,4:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_040000_ID_.txt,1,1,1192,Up,6.94,5.5,48.2,0,0,0,4:07:53,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
