Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
20-Jul,1,2,,4,0,0,0,,,6,,5,,24,,1,,,29,,,0,0,16,0,0,0,0,16,2,27.04,,,,0.208333333,182.4,,,
20-Jul,2,2,0,0,2,4,0,0,0,8,,8,,24,,1,,,24,,,4,0,4,4,16,0,0,28,2,0.16,,,,0.333333333,96,,,
20-Jul,3,0,0,1,2,1,1,0,1,6,20,8,21,24,72,1,3,3,18,23.60,71,0,1,1,1,0,1,1,5,0.357142857,31.36,29.28,1,0,0.333333333,17.14285714,295.5428571,17.19135996,24.28%
21-Jul,1,,5,2,1,0,1,0,2,11,,7,,24,,1,,,38,,,0,9,1,1,1,1,4,17,1.416666667,147.4489796,,,,0.291666667,82.57142857,,,
21-Jul,2,1,1,0,2,0,0,0,0,4,,8,,24,,1,,,12,,,0,1,4,4,0,0,0,9,0.642857143,184.1836735,,,,0.333333333,30.85714286,,,
21-Jul,3,2,0,0,1,1,0,5,0,9,24,8,23,24,72,1,3,3,27,25.57,77,4,0,1,0,1,25,25,56,4,2.040816327,166.8367347,1,0,0.333333333,192,305.4285714,17.47651485,22.78%
22-Jul,1,1,6,3,0,0,0,2,1,13,,8,,24,,1,,,39,,,25,9,9,0,0,4,1,48,3.428571429,36,,,,0.333333333,164.5714286,,,
22-Jul,2,1,3,0,1,6,4,0,0,15,,8,,24,,1,,,45,,,4,9,1,25,4,16,0,59,4.214285714,0,,,,0.333333333,202.2857143,,,
22-Jul,3,0,0,0,3,2,6,2,4,17,45,8,24,24,72,1,3,3,51,45.00,135,0,0,9,1,16,16,4,46,3.285714286,36,36,1,0,0.333333333,157.7142857,524.5714286,22.90352437,16.97%
23-Jul,1,0,7,0,5,1,0,5,1,19,,8,,24,,1,,,57,,,49,49,25,16,1,25,16,181,12.92857143,468.4132653,,,,0.333333333,620.5714286,,,
23-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
23-Jul,3,0,0,0,0,,1,3,0,4,23,7,15,24,72,1,2,3,14,35.36,106,0,0,0,0,0,4,9,13,1.083333333,468.4132653,936.8265306,0.666666667,1405.239796,0.291666667,63.14285714,2430.811224,49.30325775,46.48%
24-Jul,1,,2,2,0,0,2,2,-1,7,,7,,24,,1,,,24,,,0,0,4,0,4,0,9,17,1.416666667,25,,,,0.291666667,82.57142857,,,
