SALCHA CHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
31-Jul,258,v,3081,v,1443,v,,,2634,v,648,v,900,0,2076,v,,,,,,,1911,v,3357,v,6858,v,843,v,0,0,1782,v,1518,v,3000,0,1359,v,3204,v,,,500,v,78,0,2136,v,,,222,v,,,36,v,41,v,46,v,,
1-Aug,167,v,1107,v,1929,v,,,1902,v,540,v,1629,v,1452,v,,,,,,,2430,v,3765,v,4881,v,879,v,0,0,1413,v,1533,v,2624,v,1839,v,2934,v,,,735,v,71,0,1080,v,,,258,v,,,87,v,333,v,18,v,,
2-Aug,378,v,1584,v,1653,v,,,1836,v,1329,v,1338,v,1494,v,,,,,,,1638,0,5124,v,5460,v,1269,v,0,0,966,v,1428,v,3917,v,1506,v,3183,v,,,336,v,62,0,744,v,,,168,0,,,109,v,110,v,45,v,,
3-Aug,230,v,873,v,1527,v,,,1653,v,1950,v,1206,v,903,v,,,,,,,885,0,7545,v,6240,v,1347,v,0,0,1818,v,1524,v,4727,v,1560,v,3489,v,,,492,v,57,0,762,v,,,182,0,,,99,v,106,v,72,v,,
4-Aug,239,v,972,v,1797,v,,,1928,v,1068,v,945,v,1077,v,,,,,,,1407,0,12192,v,5151,v,1806,v,0,0,2421,v,1548,v,4404,v,1761,v,2754,v,,,762,v,50,0,662,v,,,178,0,,,69,v,66,v,45,v,,
5-Aug,275,v,1071,v,1118,v,,,1872,v,1116,v,1026,v,906,v,,,,,,,1539,v,14643,v,5022,v,1869,v,0,0,2667,v,588,v,4668,v,2019,v,3162,v,,,1005,v,44,0,,,,,184,0,,,108,v,44,v,55,v,,
6-Aug,240,v,786,v,1417,v,,,1690,v,1452,v,1168,v,702,v,,,,,,,1122,v,11394,v,3720,v,1770,v,0,0,1419,v,345,v,4083,v,2445,v,3396,v,,,630,v,,,,,,,199,0,,,99,v,94,v,,,,
7-Aug,36,v,675,v,1288,v,,,838,v,1038,v,1230,v,699,v,,,,,,,1521,v,11040,v,3261,v,,,0,0,1047,v,822,v,4707,v,2616,v,3540,v,,,399,v,,,,,,,197,0,,,168,v,33,v,,,,
8-Aug,,,585,v,1104,v,,,,,600,v,891,v,765,v,,,,,,,1200,v,8460,v,2418,v,,,0,0,990,v,966,v,3852,v,2817,v,2880,v,,,171,v,,,,,,,177,0,,,111,v,6,v,,,,
9-Aug,,,1130,v,1224,v,,,,,855,v,710,0,891,v,,,,,,,1278,v,12816,v,2442,v,,,0,0,1764,v,1140,v,4503,v,2916,v,2718,v,,,207,v,,,,,,,188,0,,,64,v,34,v,,,,
10-Aug,,,957,v,716,v,,,,,,,780,0,819,v,,,,,,,1707,v,12762,v,2343,v,,,0,0,1626,v,1008,v,4005,v,2487,v,2154,v,,,,,,,,,,,193,0,,,77,v,13,v,,,,
11-Aug,,,972,v,1358,v,,,,,,,492,0,525,v,,,,,,,1137,v,11565,v,2232,v,,,0,0,,,732,v,4262,v,2364,v,1671,v,,,,,,,,,,,,,,,,,20,v,,,,
12-Aug,,,432,v,1188,v,,,,,,,277,0,659,v,,,,,,,1062,v,10344,v,1737,v,,,0,0,,,657,v,,,2130,v,1557,v,,,,,,,,,,,,,,,,,46,v,,,,
13-Aug,,,,,783,v,,,,,,,288,v,,,,,,,,,1134,v,7398,v,1146,v,,,0,0,,,981,v,,,2280,v,1341,v,,,,,,,,,,,,,,,,,45,v,,,,
14-Aug,,,,,252,v,,,,,,,78,v,,,,,,,,,897,v,7161,v,1179,v,,,0,0,,,666,v,,,1677,v,1395,v,,,,,,,,,,,,,,,,,111,v,,,,
15-Aug,,,,,,,,,,,,,33,v,,,,,,,,,762,v,4431,v,1053,v,,,0,0,,,1332,v,,,1434,v,,,,,,,,,,,,,,,,,,,99,v,,,,
16-Aug,,,,,,,,,,,,,0,v,,,,,,,,,1014,v,4350,v,1653,v,,,0,0,,,,,,,1176,v,,,,,,,,,,,,,,,,,,,117,v,,,,
17-Aug,,,,,,,,,,,,,93,v,,,,,,,,,783,v,3627,v,1011,v,,,0,0,,,,,,,915,v,,,,,,,,,,,,,,,,,,,201,v,,,,
18-Aug,,,,,,,,,,,,,219,v,,,,,,,,,627,v,3516,v,1005,v,,,0,0,,,,,,,1233,v,,,,,,,,,,,,,,,,,,,108,v,,,,
19-Aug,,,,,,,,,,,,,276,v,,,,,,,,,621,v,2214,v,,,,,0,0,,,,,,,1179,v,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug,,,,,,,,,,,,,354,v,,,,,,,,,609,v,1599,v,,,,,0,0,,,,,,,1179,v,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug,,,,,,,,,,,,,417,v,,,,,,,,,421,v,1419,v,,,,,0,0,,,,,,,1503,v,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,,,,,,,,,,,,,387,v,,,,,,,,,180,v,1884,v,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug,,,,,,,,,,,,,834,v,,,,,,,,,324,v,1671,v,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,,,,,,,,,,,,,765,v,,,,,,,,,327,v,1827,v,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug,,,,,,,,,,,,,588,v,,,,,,,,,171,v,1904,v,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,,,,,,,,,,,,909,v,,,,,,,,,156,v,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug,,,,,,,,,,,,,264,v,,,,,,,,,177,v,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug,,,,,,,,,,,,,408,v,,,,,,,,,180,v,,,,,,,122,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,,,,,,,,,,,,,258,v,,,,,,,,,186,v,,,,,,,66,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug,,,,,,,,,,,,,249,v,,,,,,,,,174,v,,,,,,,93,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
