"","2024-06-23","2024-06-24","2024-06-25","2024-06-26","2024-06-27","2024-06-28","2024-06-29","2024-06-30","2024-07-01","2024-07-02","2024-07-03","2024-07-04","2024-07-05","2024-07-06","2024-07-07","2024-07-08","2024-07-09","2024-07-10","2024-07-11","2024-07-12","2024-07-13","2024-07-14","2024-07-15","2024-07-16","2024-07-17","2024-07-18","2024-07-19","2024-07-20","2024-07-21","2024-07-22","2024-07-23","2024-07-24","2024-07-25","2024-07-26","2024-07-27","2024-07-28","2024-07-29","2024-07-30","2024-07-31","2024-08-01","2024-08-02","2024-08-03","2024-08-04","2024-08-05","2024-08-06","2024-08-07","2024-08-08","2024-08-09","2024-08-10","2024-08-11","2024-08-12","2024-08-13","2024-08-14","2024-08-15","2024-08-16","2024-08-17","2024-08-18","2024-08-19","2024-08-20","2024-08-21"
"2024-07-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-29",6.04955467938663,-7.098360452034,-0.0271825808833501,-0.0764940783316304,-0.1412979913064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94277.2100371613,12356.7876611054,10447.2112443342,18036.7395810255,19959.1458434482,15498.3133120754,19697.243050242,20361.3284448277,18073.9715691222,19852.8494318684,28069.7486728625,22299.5959814775,20584.048285194,32405.3302147065,19883.2449552081,14362.262407779,20473.085246572,36247.7049070493,14993.2513547952,11401.4180008388,17574.3270245404,44150.3909282637,14791.1089744022,12187.7685831676
"2024-07-30",1.66452413006101,4.37939964124179,1.08605422036388,-3.29162888851593,31.3165379082553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12356.7876611054,112471.45470808,13260.6248109127,18575.4509552936,17800.274241694,18183.8182146927,24200.5875370349,15195.4421131102,18165.9229593533,23111.6151323812,34828.8704960109,24074.9956216459,17299.9652129715,19232.9901991008,24287.2893014549,15467.3368348008,25315.5999943789,19457.3759598854,16390.9792051154,14659.0197234244,16456.4360961288,8781.96050349884,34830.8595035535,10556.9415881326
"2024-07-31",22.6698254954985,0.964239338541832,18.1367350369086,-5.35872782647812,0.840444646950406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10447.2112443342,13260.6248109127,127577.173484272,19162.7786031497,18908.9026558103,23526.5304791509,22484.4850937439,45037.8464311044,27481.5443432815,42351.1080127276,28561.5168423636,45726.5135883522,27652.3814572508,40275.0461439685,75228.8990863631,25642.2189363514,30352.9785383891,27738.9306513799,25452.658748958,20303.6742487674,35743.3140035257,25571.8592960981,18052.2611189643,24326.2641473076
"2024-08-01",8.09484978048755,13.1166426289375,-2.11454159198771,26.974391897089,28.7585649478338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18036.7395810255,18575.4509552936,19162.7786031497,151961.078574046,24253.6109466627,33091.139246373,49956.7381965939,36361.676064042,34219.6081048406,56648.2671751338,52171.7476621671,46984.0206172559,30853.7078082897,53051.6384280564,39618.7874170834,41632.751287935,44756.2210215192,30413.0719162498,24790.8679469938,33656.4625149575,23130.8659855288,29826.9108594175,26270.5038464035,27160.9185461514
"2024-08-02",-7.04443302921176,-7.80172033299632,15.1083758692403,2.09682325049206,4.98880792461999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19959.1458434482,17800.274241694,18908.9026558103,24253.6109466627,170924.525241629,28595.3891927998,36943.615569321,30497.8386044247,36225.2071522445,45226.7938805901,40121.0545865287,30821.8227508434,36844.6356926398,45575.6000012712,38273.7419918938,31714.266104731,33865.5829725084,34885.751895782,33047.0035468304,31966.8385124158,28993.4008178351,30291.4747507885,24657.0675510905,22059.9084238281
