Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
17-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
17-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
18-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
18-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
18-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
19-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
19-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
19-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
20-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
20-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
20-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
21-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
21-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
21-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
22-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
22-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
22-Jul,3,0,0,0,0,0,2,0,5,7,7,8,8,24,72,1,1,3,21,21,63,0,0,0,0,4,4,25,33,2.357142857,0,#DIV/0!,0.333333333,#DIV/0!,0.333333333,113.1428571,#DIV/0!,#DIV/0!,#DIV/0!
23-Jul,1,1,0,,,0,0,2,0,3,,6,,24,,1,,,12,,,1,0,0,0,0,4,4,9,0.9,4,,,,0.25,64.8,,,
23-Jul,2,0,0,0,0,0,0,2,0,2,,8,,24,,1,,,6,,,0,0,0,0,0,4,4,8,0.571428571,16,,,,0.333333333,27.42857143,,,
23-Jul,3,0,1,3,0,0,0,0,0,4,9,8,22,24,72,1,3,3,12,10,30,1,4,9,0,0,0,0,14,1,4,12,1,0,0.333333333,48,140.2285714,11.84181453,39.47%
24-Jul,1,0,0,0,0,1,0,0,0,1,,8,,24,,1,,,3,,,0,0,0,1,1,0,0,2,0.142857143,1,,,,0.333333333,6.857142857,,,
24-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,4,,,,0.333333333,0,,,
24-Jul,3,0,0,0,1,0,0,0,0,1,2,8,24,24,72,1,3,3,3,2,6,0,0,1,1,0,0,0,2,0.142857143,1,3,1,0,0.333333333,6.857142857,13.71428571,3.703280399,61.72%
25-Jul,1,2,0,1,1,1,1,0,0,6,,8,,24,,1,,,18,,,4,1,0,0,0,1,0,6,0.428571429,144,,,,0.333333333,20.57142857,,,
25-Jul,2,0,0,0,0,0,0,0,0,0,,8,,24,,1,,,0,,,0,0,0,0,0,0,0,0,0,36,,,,0.333333333,0,,,
25-Jul,3,0,0,,,0,,,0,0,6,4,20,24,72,1,3,3,0,6,18,0,0,0,0,0,0,0,0,0,36,108,1,0,0.166666667,0,20.57142857,4.535573676,25.20%
26-Jul,1,0,1,0,1,0,0,0,1,3,,8,,24,,1,,,9,,,1,1,1,1,0,0,1,5,0.357142857,9,,,,0.333333333,17.14285714,,,
26-Jul,2,0,0,0,1,0,0,0,0,1,,8,,24,,1,,,3,,,0,0,1,1,0,0,0,2,0.142857143,9,,,,0.333333333,6.857142857,,,
26-Jul,3,,0,,.,,,,0,0,4,2,18,24,72,0,2,3,0,6,18,0,0,#VALUE!,#VALUE!,0,0,0,#VALUE!,#VALUE!,0,18,0.666666667,27,0.083333333,#VALUE!,#VALUE!,#VALUE!,#VALUE!
27-Jul,1,,,1,0,2,0,0,0,3,,6,,24,,1,,,12,,,0,0,1,4,4,0,0,9,0.9,16,,,,0.25,64.8,,,
27-Jul,2,0,0,0,1,0,0,0,0,1,,8,,24,,1,,,3,,,0,0,1,1,0,0,0,2,0.142857143,25,,,,0.333333333,6.857142857,,,
27-Jul,3,0,1,0,0,2,0,0,0,3,7,8,22,24,72,1,3,3,9,8,24,1,1,0,4,4,0,0,10,0.714285714,1,21,1,0,0.333333333,34.28571429,105.9428571,10.29285466,42.89%
28-Jul,1,0,1,0,0,1,0,2,0,4,,8,,24,,1,,,12,,,1,1,0,1,1,4,4,12,0.857142857,9,,,,0.333333333,41.14285714,,,
28-Jul,2,0,0,0,0,0,2,0,0,2,,8,,24,,1,,,6,,,0,0,0,0,4,4,0,8,0.571428571,9,,,,0.333333333,27.42857143,,,
28-Jul,3,,,,,,,,,0,6,0,16,24,72,0,2,3,0,9,27,0,0,0,0,0,0,0,0,0,0,18,0.666666667,27,0,0,129.8571429,11.39548783,42.21%
29-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
30-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
30-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
31-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
31-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
31-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
1-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
